##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_SS_INFANTRY;Waffen-SS Infantry;Waffen-SS Infanterie;;;Waffen-SS Infanterie;;;;;;X
9300286name;Mj Gen Hobart Re-Enlisted;Mj Gen Hobart Re-Enlisted;;;;;;;;;X
9300286desc;Major General Sir Percy Hobart was a British military engineer. In 1923, foreseeing the predominance of tank warfare, Hobart volunteered to be transferred to the Royal Tank Corps. While there, he was greatly influenced by the writings of B. H. Liddell Hart on armoured warfare. In 1934, Hobart became Brigadier of the first permanent armoured brigade in Britain. He had to fight for resources for his command because the British Army was still dominated by conservative cavalry officers. Quite ironically, German General Heinz Guderian kept abreast of Hobart's writings. Promoted to Major-General, Hobart was sent in 1938 to form and train 'Mobile Force (Egypt)', which later became the 7th Armoured Division, famous as the 'Desert Rats'. Sir Archibald Wavell dismissed Hobart into retirement in 1940, based on hostile War Office information due to his 'unconventional' ideas about armoured warfare. Liddell Hart criticised the decision and wrote an article in the newspaper Sunday Pictorial. Winston Churchill was notified and had Hobart re-enlisted into the army in 1941. Hobart was assigned to train 11th Armoured Division, which was recognised as an extremely successful task. His detractors tried again to have him removed, this time on medical grounds, but Churchill rebuffed them. Subsequently, however, he was removed from the 11th Armoured when they were transferred to Tunisia in September 1942. Once again, Hobart was assigned to raise and train a fresh armoured division, this time the 79th. Under his leadership, the 79th assembled units of modified tank designs collectively nicknamed 'Hobart's Funnies'. These were used in the Normandy invasion and were credited with helping the Allies get ashore.;Major General Sir Percy Hobart was a British military engineer. In 1923, foreseeing the predominance of tank warfare, Hobart volunteered to be transferred to the Royal Tank Corps. While there, he was greatly influenced by the writings of B. H. Liddell Hart on armoured warfare. In 1934, Hobart became Brigadier of the first permanent armoured brigade in Britain. He had to fight for resources for his command because the British Army was still dominated by conservative cavalry officers. Quite ironically, German General Heinz Guderian kept abreast of Hobart's writings. Promoted to Major-General, Hobart was sent in 1938 to form and train 'Mobile Force (Egypt)', which later became the 7th Armoured Division, famous as the 'Desert Rats'. Sir Archibald Wavell dismissed Hobart into retirement in 1940, based on hostile War Office information due to his 'unconventional' ideas about armoured warfare. Liddell Hart criticised the decision and wrote an article in the newspaper Sunday Pictorial. Winston Churchill was notified and had Hobart re-enlisted into the army in 1941. Hobart was assigned to train 11th Armoured Division, which was recognised as an extremely successful task. His detractors tried again to have him removed, this time on medical grounds, but Churchill rebuffed them. Subsequently, however, he was removed from the 11th Armoured when they were transferred to Tunisia in September 1942. Once again, Hobart was assigned to raise and train a fresh armoured division, this time the 79th. Under his leadership, the 79th assembled units of modified tank designs collectively nicknamed 'Hobart's Funnies'. These were used in the Normandy invasion and were credited with helping the Allies get ashore.;;;;;;;;;X
9300287name;\n \n \n \nBerlin Motor Show;\n \n \n \nBerlin Motor Show;;;;;;;;;X
9300287desc;On March 7, 1934, Adolf Hitler delivered the opening remarks at the International Automobile and Motorcycle Exposition in Berlin. Although Hitler had never traveled outside of Europe, he recognized that the car industry had been a key factor in the US's economic and industrial growth. He was however opposed to unrestrained US style free-market competition, as that would result in duplication of effort and waste of Germany's limited resources. Germany's transformation into a fully industrialized nation of car owners, driving on modern super highways, would be via a centrally controlled national car project. In his speech, he challenged the German auto industry to build a modern car, seating four adults, that could cruise at 100 kph, that would be cheap enough for the common man (a 'Volkswagen,' or car for the People). He set a maximum price cap of 1000 Reichsmarks for the car. Designs were to be revealed next year at the 1935 Berlin Auto Show.;On March 7, 1934, Adolf Hitler delivered the opening remarks at the International Automobile and Motorcycle Exposition in Berlin. Although Hitler had never traveled outside of Europe, he recognized that the car industry had been a key factor in the US's economic and industrial growth. He was however opposed to unrestrained US style free-market competition, as that would result in duplication of effort and waste of Germany's limited resources. Germany's transformation into a fully industrialized nation of car owners, driving on modern super highways, would be via a centrally controlled national car project. In his speech, he challenged the German auto industry to build a modern car, seating four adults, that could cruise at 100 kph, that would be cheap enough for the common man (a 'Volkswagen,' or car for the People). He set a maximum price cap of 1000 Reichsmarks for the car. Designs were to be revealed next year at the 1935 Berlin Auto Show.;;;;;;;;;X
9300287a;A Great Idea;A Great Idea;;;;;;;;;X
9300287b;A Terrible Idea;A Terrible Idea;;;;;;;;;X
9300288name;Hitler’s Comments at a Dinner with the Chiefs of the Army and the Navy;Hitler’s Comments at a Dinner with the Chiefs of the Army and the Navy;;;;;;;;;X
9300288desc;On February 3, 1933, a few days after being sworn in as Reich Chancellor, Hitler was invited to a dinner with military commanders at the home of Commander-in-Chief General Kurt von Hammerstein-Equord. There, he outlined his domestic and international political agenda, including the plan to 'eradicate the Marxism root and branch', to set up 'the strictest authoritarian government', to rearm Germany in defiance of the Treaty of Versailles, and, eventually, 'the conquest of new living space in the East and its ruthless Germanization'. Members of the military leadership had initially welcomed Hitler’s appointment as Reich Chancellor, since they shared his anti-democratic, anti-Bolshevist views and hoped that rearmament and military expansion would help strengthen Germany. Hammerstein, however, was a decisive opponent of National Socialism and therefore tendered his resignation at the end of 1933. He was in touch with members of the resistance movement within the military, and two of his sons, Kunrat and Ludwig, were involved in the July 20, 1944 plot to assassinate Hitler.;On February 3, 1933, a few days after being sworn in as Reich Chancellor, Hitler was invited to a dinner with military commanders at the home of Commander-in-Chief General Kurt von Hammerstein-Equord. There, he outlined his domestic and international political agenda, including the plan to 'eradicate the Marxism root and branch', to set up 'the strictest authoritarian government', to rearm Germany in defiance of the Treaty of Versailles, and, eventually, 'the conquest of new living space in the East and its ruthless Germanization'. Members of the military leadership had initially welcomed Hitler’s appointment as Reich Chancellor, since they shared his anti-democratic, anti-Bolshevist views and hoped that rearmament and military expansion would help strengthen Germany. Hammerstein, however, was a decisive opponent of National Socialism and therefore tendered his resignation at the end of 1933. He was in touch with members of the resistance movement within the military, and two of his sons, Kunrat and Ludwig, were involved in the July 20, 1944 plot to assassinate Hitler.;;;;;;;;;X
9300289name;The Reichsbanner Schwarz-Rot-Gold Organization Demonstrates Against 'Hitler Dictatorship';The Reichsbanner Schwarz-Rot-Gold Organization Demonstrates Against 'Hitler Dictatorship';;;;;;;;;X
9300289desc;The Reichsbanner Schwarz-Rot-Gold ('Black, Red, Gold Banner of the Reich') was an organization formed by members of the Social Democratic Party of Germany, the German Centre Party, and the German Democratic Party in 1924. Its goal was to defend parliamentary democracy against internal subversion and extremism from the left and right, to teach the population to respect the new Republic, to honor its flag and the constitution. Its name is derived from the Flag of Germany adopted in 1919, the colors of which were associated with liberal parliamentary democracy and the republic. While the Reichsbanner was set up as a multiparty organization, it came to be strongly associated with the Social Democratic Party and viewed as their paramilitary force. The headquarters of the Reichsbanner was located in Magdeburg, but it had branches elsewhere. The Reichsbanner's main opponents were the Communist Party of Germany and their Rotfrontkämpferbund on the left, and the Nazi Party and their Sturmabteilung on the right. Following the Nazi takeover, Reichsbanner was banned and its members played a central role in the anti-Nazi resistance.;The Reichsbanner Schwarz-Rot-Gold ('Black, Red, Gold Banner of the Reich') was an organization formed by members of the Social Democratic Party of Germany, the German Centre Party, and the German Democratic Party in 1924. Its goal was to defend parliamentary democracy against internal subversion and extremism from the left and right, to teach the population to respect the new Republic, to honor its flag and the constitution. Its name is derived from the Flag of Germany adopted in 1919, the colors of which were associated with liberal parliamentary democracy and the republic. While the Reichsbanner was set up as a multiparty organization, it came to be strongly associated with the Social Democratic Party and viewed as their paramilitary force. The headquarters of the Reichsbanner was located in Magdeburg, but it had branches elsewhere. The Reichsbanner's main opponents were the Communist Party of Germany and their Rotfrontkämpferbund on the left, and the Nazi Party and their Sturmabteilung on the right. Following the Nazi takeover, Reichsbanner was banned and its members played a central role in the anti-Nazi resistance.;;;;;;;;;X
9300290name;The Prague Manifesto;The Prague Manifesto;;;;;;;;;X
9300290desc;Published a year after the National Socialists’ accession to power by the Social Democratic executive committee in exile, the Prague Manifesto formulated the demand for revolutionary change in German society as a new programmatic principle and simultaneously called for 'the overthrow of despotism.' Its aim was to integrate the critics of the old Social Democratic Party of the Weimar Republic into the common defensive front against Hitler. Over 15,000 copies of the Prague Manifesto were secretly distributed in Germany.;Published a year after the National Socialists’ accession to power by the Social Democratic executive committee in exile, the Prague Manifesto formulated the demand for revolutionary change in German society as a new programmatic principle and simultaneously called for 'the overthrow of despotism.' Its aim was to integrate the critics of the old Social Democratic Party of the Weimar Republic into the common defensive front against Hitler. Over 15,000 copies of the Prague Manifesto were secretly distributed in Germany.;;;;;;;;;X
9300291name;The Metal Worker Pamphlet;The Metal Worker Pamphlet;;;;;;;;;X
9300291desc;An illegal pamphlet was produced in Berlin by labor union resistance groups belonging to the Communist Party of Germany formed around Walter Uhlmann. It had a weekly print-run of around six hundred photo-mechanically reproduced copies. The Gestapo sought the people behind it but never found them.;An illegal pamphlet was produced in Berlin by labor union resistance groups belonging to the Communist Party of Germany formed around Walter Uhlmann. It had a weekly print-run of around six hundred photo-mechanically reproduced copies. The Gestapo sought the people behind it but never found them.;;;;;;;;;X
9300292name;Otto Wels' Reichstag Speech Against the Enabling Act;Otto Wels' Reichstag Speech Against the Enabling Act;;;;;;;;;X
9300292desc;By the time Hitler proposed the 'Enabling Act', the National Socialists had virtually smashed the Communist opposition. Many Social Democratic delegates were in 'protective custody,' and the Center Party had already announced its support of the measure. Nonetheless, on March 23, 1933, the day the vote was taken in the Reichstag, there were still plenty of SA men on hand at the Kroll Opera House to intimidate potential opponents and those who were on the fence. Only the Social Democratic delegates – at least those who were not in custody – voted against the law that became the legal basis for Hitler’s dictatorship. But before the Reichstag relinquished its legislative authority, SPD Chairman Otto Wels spoke out once more in support of the democratic ideals of the Weimar Republic.;By the time Hitler proposed the 'Enabling Act', the National Socialists had virtually smashed the Communist opposition. Many Social Democratic delegates were in 'protective custody,' and the Center Party had already announced its support of the measure. Nonetheless, on March 23, 1933, the day the vote was taken in the Reichstag, there were still plenty of SA men on hand at the Kroll Opera House to intimidate potential opponents and those who were on the fence. Only the Social Democratic delegates – at least those who were not in custody – voted against the law that became the legal basis for Hitler’s dictatorship. But before the Reichstag relinquished its legislative authority, SPD Chairman Otto Wels spoke out once more in support of the democratic ideals of the Weimar Republic.;;;;;;;;;X
9300293name;Resistance to Nazism in the Workers' Movement;Resistance to Nazism in the Workers' Movement;;;;;;;;;X
9300293desc;Even before 1933, Communists, Socialists, Social Democrats and labor union members defended themselves against National Socialism. However, there was no defense front across the whole of the workers' movements because the differences between Communists and Social Democrats remained impossible to bridge. The labor union leadership even sought a compromise with the Hitler government at a late point. There were diverse forms of resistance from the workers' movement: criticism of National Socialist rule in the workplace or neighborhood, gatherings, courier services, the passing on of information, distribution of leaflets and illegal material. After 1939, the focus was on setting up resistance groups in the workplace, spreading news about the real course of the war, attempting to sabotage armaments industry, and supporting persecuted people.;Even before 1933, Communists, Socialists, Social Democrats and labor union members defended themselves against National Socialism. However, there was no defense front across the whole of the workers' movements because the differences between Communists and Social Democrats remained impossible to bridge. The labor union leadership even sought a compromise with the Hitler government at a late point. There were diverse forms of resistance from the workers' movement: criticism of National Socialist rule in the workplace or neighborhood, gatherings, courier services, the passing on of information, distribution of leaflets and illegal material. After 1939, the focus was on setting up resistance groups in the workplace, spreading news about the real course of the war, attempting to sabotage armaments industry, and supporting persecuted people.;;;;;;;;;X
9300294name;Red Orchestra;Red Orchestra;;;;;;;;;X
9300294desc;In the mid-1930s, circles of discussion formed in Berlin around Arvid Harnack, a senior executive officer in the Reich Ministry of Economics, and his wife Mildred, along with the Reich Ministry of Aviation employee Harro Schulze-Boysen and his wife Libertas. Through personal contacts, a loose network of seven Berlin resistance circles came into being in 1940/41. Harnack and Schulze-Boysen passed on intelligence of military importance to the Soviet Union. In the summer of 1942, the Gestapo discovered the resistance organization an investigated them under the collective name of 'Red Orchestra.' They discredited the group as a Soviet espionage organization, and the members were tried for treason.;In the mid-1930s, circles of discussion formed in Berlin around Arvid Harnack, a senior executive officer in the Reich Ministry of Economics, and his wife Mildred, along with the Reich Ministry of Aviation employee Harro Schulze-Boysen and his wife Libertas. Through personal contacts, a loose network of seven Berlin resistance circles came into being in 1940/41. Harnack and Schulze-Boysen passed on intelligence of military importance to the Soviet Union. In the summer of 1942, the Gestapo discovered the resistance organization an investigated them under the collective name of 'Red Orchestra.' They discredited the group as a Soviet espionage organization, and the members were tried for treason.;;;;;;;;;X
9300296name;Hitler Secretly Meets with Industrialists;Hitler Secretly Meets with Industrialists;;;;;;;;;X
9300296desc;A Secret Meeting took place on February 20, 1933, between Adolf Hitler and 20 to 25 industrialists at the official residence of Hermann Göring in the Reichstag Presidential Palace aimed at financing the election campaign of the Nazi Party. First Göring gave a short speech in which he emphasized the importance of the current election campaign. The German elections were to be held on 5 March 1933. The Nazi Party wanted to achieve two-thirds majority to pass the Enabling Act and desired to raise three million Reichsmark to fund the campaigns.  Then Hitler appeared and gave a ninety minute speech. He praised the concept of private property and argued that the Nazi Party would be the nation's only salvation against the communist threat. The basis of the Nazi Party is the national idea and the concern over the nation's defense capabilities. According to records, two million Reichsmarks were contributed at the meeting.;A Secret Meeting took place on February 20, 1933, between Adolf Hitler and 20 to 25 industrialists at the official residence of Hermann Göring in the Reichstag Presidential Palace aimed at financing the election campaign of the Nazi Party. First Göring gave a short speech in which he emphasized the importance of the current election campaign. The German elections were to be held on 5 March 1933. The Nazi Party wanted to achieve two-thirds majority to pass the Enabling Act and desired to raise three million Reichsmark to fund the campaigns.  Then Hitler appeared and gave a ninety minute speech. He praised the concept of private property and argued that the Nazi Party would be the nation's only salvation against the communist threat. The basis of the Nazi Party is the national idea and the concern over the nation's defense capabilities. According to records, two million Reichsmarks were contributed at the meeting.;;;;;;;;;X
9300297name;'Kinder, Küche, Kirche';'Kinder, Küche, Kirche';;;;;;;;;X
9300297desc;'Kinder, Küche, Kirche', or the 3 Ks, is a German slogan translated as 'children, kitchen, church'. It has a derogative connotation describing an antiquated female role model. The origins of the phrase are normally attributed either to the last German Emperor Wilhelm II, or to his first wife, Empress Augusta Victoria. It started to appear in its current form in writing in the early 1890s, encouraging German women to obey to the letter the young emperor's injunction to devote themselves to the three K's and take no interest in public affairs. When Hitler came to power in 1933, he introduced a Law for the Encouragement of Marriage, which entitled newly married couples to a loan of 1000 marks (around 9 months' average wages). On their first child, they could keep 250 marks. On their second, they could keep another 250. They reclaimed all of the loan by their fourth child. In a September 1934 speech to the National Socialist Women's Organization, Hitler argued that for the German woman her 'world is her husband, her family, her children, and her home,' a policy which was reinforced by the stress on 'Kinder' and 'Küche' in propaganda, and the bestowal of the Cross of Honor of the German Mother on women bearing four or more babies. During this period, women were discriminated against in employment and forced out or bribed with numerous social benefits. Medicine, the law and civil service were occupations reserved for men alone. During the war, women eventually were put back in the factories because of the growing losses in the armed forces and the desperate lack of equipment on the front lines.;Kinder, Küche, Kirche', or the 3 Ks, is a German slogan translated as 'children, kitchen, church'. It has a derogative connotation describing an antiquated female role model. The origins of the phrase are normally attributed either to the last German Emperor Wilhelm II, or to his first wife, Empress Augusta Victoria. It started to appear in its current form in writing in the early 1890s, encouraging German women to obey to the letter the young emperor's injunction to devote themselves to the three K's and take no interest in public affairs. When Hitler came to power in 1933, he introduced a Law for the Encouragement of Marriage, which entitled newly married couples to a loan of 1000 marks (around 9 months' average wages). On their first child, they could keep 250 marks. On their second, they could keep another 250. They reclaimed all of the loan by their fourth child. In a September 1934 speech to the National Socialist Women's Organization, Hitler argued that for the German woman her 'world is her husband, her family, her children, and her home,' a policy which was reinforced by the stress on 'Kinder' and 'Küche' in propaganda, and the bestowal of the Cross of Honor of the German Mother on women bearing four or more babies. During this period, women were discriminated against in employment and forced out or bribed with numerous social benefits. Medicine, the law and civil service were occupations reserved for men alone. During the war, women eventually were put back in the factories because of the growing losses in the armed forces and the desperate lack of equipment on the front lines.;;;;;;;;;X
9300298name;1940 Field Marshal Ceremony;1940 Field Marshal Ceremony;;;;;;;;;X
9300298desc;The 1940 Field Marshal Ceremony refers to the 19 July 1940 promotion ceremony at the Kroll Opera House in Berlin. Therein Adolf Hitler promoted 12 generals to the rank of field marshal for their role in the swift victory over France and the Low Countries. It was the first occasion that Hitler appointed field marshals due to military achievements. No other field marshal-promotions were celebrated like this ceremony throughout the rest of the war. The 12 generals were Walther von Brauchitsch, Fedor von Bock, Albert Kesselring, Wilhelm Keitel, Günther von Kluge, Wilhelm Ritter von Leeb, Wilhelm List, Erhard Milch, Walther von Reichenau, Gerd von Rundstedt, Hugo Sperrle and Erwin von Witzleben. Hermann Göring had already been promoted field marshal in 1938 and was instead promoted to Reichsmarschall, and was the only one to have held this rank. The ceremony deeply highlighted the power and prestige of the Wehrmacht. France was considered to have the strongest army in the world, yet had been humiliatingly defeated. Some suggest the reason for promoting an unexpected total of 12 generals to field marshal was to raise morale and war-fever for the biggest military operation in history: the invasion of the Soviet Union. The number of promotions was unexpected since, throughout the whole of the World War I, Kaiser Wilhelm II had promoted only five generals to field marshal.;The 1940 Field Marshal Ceremony refers to the 19 July 1940 promotion ceremony at the Kroll Opera House in Berlin. Therein Adolf Hitler promoted 12 generals to the rank of field marshal for their role in the swift victory over France and the Low Countries. It was the first occasion that Hitler appointed field marshals due to military achievements. No other field marshal-promotions were celebrated like this ceremony throughout the rest of the war. The 12 generals were Walther von Brauchitsch, Fedor von Bock, Albert Kesselring, Wilhelm Keitel, Günther von Kluge, Wilhelm Ritter von Leeb, Wilhelm List, Erhard Milch, Walther von Reichenau, Gerd von Rundstedt, Hugo Sperrle and Erwin von Witzleben. Hermann Göring had already been promoted field marshal in 1938 and was instead promoted to Reichsmarschall, and was the only one to have held this rank. The ceremony deeply highlighted the power and prestige of the Wehrmacht. France was considered to have the strongest army in the world, yet had been humiliatingly defeated. Some suggest the reason for promoting an unexpected total of 12 generals to field marshal was to raise morale and war-fever for the biggest military operation in history: the invasion of the Soviet Union. The number of promotions was unexpected since, throughout the whole of the World War I, Kaiser Wilhelm II had promoted only five generals to field marshal.;;;;;;;;;X
9300299name;Erwin von Witzleben Retires from the Army;Erwin von Witzleben Retires from the Army;;;;;;;;;X
9300299desc;In September 1939, Erwin von Witzleben took command of the 1st Army, stationed at the Western Front. When Germany attacked France, the First Army was part of Army Group C. On 14 June it broke through the Maginot line, and within three days had forced several French divisions to surrender. For this, Witzleben was decorated with the Knight's Cross of the Iron Cross, and on 19 July, he was promoted to Generalfeldmarschall during the 1940 Field Marshal Ceremony. In 1941 he was even appointed Commander-in-Chief OB West, succeeding Field Marshal Gerd von Rundstedt, but only a year later he took leave from this position for health reasons. Some sources, however, claim he was again forcibly retired at this time after criticizing the regime for its invasion of the Soviet Union.;In September 1939, Erwin von Witzleben took command of the 1st Army, stationed at the Western Front. When Germany attacked France, the First Army was part of Army Group C. On 14 June it broke through the Maginot line, and within three days had forced several French divisions to surrender. For this, Witzleben was decorated with the Knight's Cross of the Iron Cross, and on 19 July, he was promoted to Generalfeldmarschall during the 1940 Field Marshal Ceremony. In 1941 he was even appointed Commander-in-Chief OB West, succeeding Field Marshal Gerd von Rundstedt, but only a year later he took leave from this position for health reasons. Some sources, however, claim he was again forcibly retired at this time after criticizing the regime for its invasion of the Soviet Union.;;;;;;;;;X
9300300name;Sturmgeschütz III Development;Sturmgeschütz III Development;;;;;;;;;X
9300300desc;The Sturmgeschütz III (StuG III) assault gun was Germany's most produced armoured fighting vehicle during the war. It was built on the chassis of the proven Panzer III tank, replacing the turret with a fixed casemate and mounting a more powerful gun. Initially intended as a mobile, armoured light gun for direct-fire support for infantry, the StuG was continually modified and was widely employed as a tank destroyer. It originated from German experiences in the Great War when it was discovered that during the offensives on the western front the infantry lacked the means to effectively engage fortifications. The artillery of the time was heavy and not mobile enough to keep up with the advancing infantry to destroy bunkers, pillboxes, and other minor obstacles with direct fire. Although the problem was well known in the German army, it was General Erich von Manstein who is considered the father of the 'Sturmartillerie' (assault artillery). This is because the initial proposal was from (then) Colonel Erich von Manstein and submitted to General Ludwig Beck in 1935, suggesting that Sturmartillerie units should be used in a direct-fire support role for infantry divisions. On June 15, 1936, Daimler-Benz AG received an order to develop an armoured infantry support vehicle capable of mounting a 75 mm (2.95 in) artillery piece. Overall, Sturmgeschütz series assault guns proved very successful and served on all fronts as assault guns and tank destroyers. Because of their low silhouette, StuG IIIs were easy to camouflage and a difficult target. Sturmgeschütz crews were considered to be the elite of the artillery units and claimed to have knocked out 20,000 tanks by 1944. More than 10,000 StuG III were produced throughout the war.;The Sturmgeschütz III (StuG III) assault gun was Germany's most produced armoured fighting vehicle during the war. It was built on the chassis of the proven Panzer III tank, replacing the turret with a fixed casemate and mounting a more powerful gun. Initially intended as a mobile, armoured light gun for direct-fire support for infantry, the StuG was continually modified and was widely employed as a tank destroyer. It originated from German experiences in the Great War when it was discovered that during the offensives on the western front the infantry lacked the means to effectively engage fortifications. The artillery of the time was heavy and not mobile enough to keep up with the advancing infantry to destroy bunkers, pillboxes, and other minor obstacles with direct fire. Although the problem was well known in the German army, it was General Erich von Manstein who is considered the father of the 'Sturmartillerie' (assault artillery). This is because the initial proposal was from (then) Colonel Erich von Manstein and submitted to General Ludwig Beck in 1935, suggesting that Sturmartillerie units should be used in a direct-fire support role for infantry divisions. On June 15, 1936, Daimler-Benz AG received an order to develop an armoured infantry support vehicle capable of mounting a 75 mm (2.95 in) artillery piece. Overall, Sturmgeschütz series assault guns proved very successful and served on all fronts as assault guns and tank destroyers. Because of their low silhouette, StuG IIIs were easy to camouflage and a difficult target. Sturmgeschütz crews were considered to be the elite of the artillery units and claimed to have knocked out 20,000 tanks by 1944. More than 10,000 StuG III were produced throughout the war.;;;;;;;;;X
9300301name;Fund Jet Fighter Research;Fund Jet Fighter Research;;;;;;;;;X
9300301desc;Several years before the war, the Germans foresaw the great potential for aircraft that used the jet engine constructed by Hans Joachim Pabst von Ohain in 1936. After the successful test flights of the world's first jet aircraft—the Heinkel He 178—within a week of the Invasion of Poland to start the war, they adopted the jet engine for an advanced fighter aircraft. As a result, the Messerschmitt Me 262 was already under development as Projekt 1065 (P.1065) before the start of the war. The project originated with a request for a jet aircraft capable of one hour's endurance and a speed of at least 850 km/h (530 mph). The progression of the original design was delayed greatly by technical issues involving the new jet engine. Funding for the jet engine program was also initially lacking as many high-ranking officials thought the war could easily be won with conventional aircraft. Among those were Hermann Göring who, as head of the Luftwaffe, cut the engine development program to just 35 engineers in February 1940. The aircraft made its first successful flight entirely on jet power on 18 July 1942. In mid-1943, Adolf Hitler envisioned the Me 262 as a ground-attack/bomber aircraft rather than a defensive interceptor against the Allied bombers destroying large parts of Germany, further extending the delay in bringing the Me 262 Schwalbe into operation. About 1,400 Me 262s were eventually produced, but a maximum of 200 were operational at the same time. According to sources they destroyed from 300 to 450 enemy planes, with the Allies destroying about 100 Me 262s in the air.;Several years before the war, the Germans foresaw the great potential for aircraft that used the jet engine constructed by Hans Joachim Pabst von Ohain in 1936. After the successful test flights of the world's first jet aircraft—the Heinkel He 178—within a week of the Invasion of Poland to start the war, they adopted the jet engine for an advanced fighter aircraft. As a result, the Messerschmitt Me 262 was already under development as Projekt 1065 (P.1065) before the start of the war. The project originated with a request for a jet aircraft capable of one hour's endurance and a speed of at least 850 km/h (530 mph). The progression of the original design was delayed greatly by technical issues involving the new jet engine. Funding for the jet engine program was also initially lacking as many high-ranking officials thought the war could easily be won with conventional aircraft. Among those were Hermann Göring who, as head of the Luftwaffe, cut the engine development program to just 35 engineers in February 1940. The aircraft made its first successful flight entirely on jet power on 18 July 1942. In mid-1943, Adolf Hitler envisioned the Me 262 as a ground-attack/bomber aircraft rather than a defensive interceptor against the Allied bombers destroying large parts of Germany, further extending the delay in bringing the Me 262 Schwalbe into operation. About 1,400 Me 262s were eventually produced, but a maximum of 200 were operational at the same time. According to sources they destroyed from 300 to 450 enemy planes, with the Allies destroying about 100 Me 262s in the air.;;;;;;;;;X
9300302name;Establish Protectorate Government in Denmark;Establish Protectorate Government in Denmark;;;;;;;;;X
